date,inflation,interest
2012 Q2,1.64571263450961,0.155657930527631
2012 Q3,1.13027391960291,0.145466219345525
2012 Q4,1.76851821724656,0.162353512571833
2013 Q1,1.58162410555216,0.145203795801918
2013 Q2,1.23961549278817,0.118282466631481
2013 Q3,1.53707052168467,0.0845631124281931
2013 Q4,1.90523394174618,0.0879824164774279
2014 Q1,1.31984284960333,0.0744921618560657
2014 Q2,1.86757358646854,0.0946371209636476
2014 Q3,1.47366927773698,0.0912915313088014
2014 Q4,1.09860237622475,0.101550480699175
2015 Q1,0.731550500760959,0.111589822548064
2015 Q2,1.69778221217549,0.125087112184552
2015 Q3,1.34936701935554,0.138623810934391
2015 Q4,0.991884822313266,0.162795048526054
2016 Q1,1.64769753726823,0.365217814906993
2016 Q2,1.99176146718496,0.379196555238837
2016 Q3,1.93831049180987,0.402946631232037
2016 Q4,1.44250670413539,0.457732372978992
2017 Q1,1.64413367615095,0.713601233010519
2017 Q2,1.31993679767039,0.967385293883538
2017 Q3,1.4571118775702,1.17623371271611
2017 Q4,2.15860568567529,1.22798198417486
2018 Q1,2.26187017309916,1.47845357135545
2018 Q2,2.10547094399028,1.77592129235351
2018 Q3,1.55279165242949,1.96883112733377
2018 Q4,1.73210843413738,2.27651015244694
2019 Q1,1.0472389854629,2.4666755115637
2019 Q2,1.78863303636183,2.45955870204924
